Nơi thực hiện;Vị trí quan trắc;Số lượng mẫu;Số lượng mẫu QC;Ngày
Mũi Đèn Đỏ;Triều Lên;1;;20
Nhà Bè;Triều Lên;1;;20
Phú Mỹ;Triều Lên;1;;20
Mũi Đèn Đỏ;Triều Xuống;1;;20
Nhà Bè;Triều Xuống;1;;20
Phú Mỹ;Triều Xuống;1;1;20
Lòng Tàu 1;Triều Lên;1;;21
Lòng Tàu;Triều Lên;1;;21
Tam Thôn Hiệp;Triều Lên;1;1;21
Đồng Tranh 1;Triều Lên;1;;21
Lòng Tàu 1;Triều Xuống;1;;21
Lòng Tàu;Triều Xuống;1;;21
Tam Thôn Hiệp;Triều Xuống;1;;21
Đồng Tranh 1;Triều Xuống;1;;21
Bình Lợi;Triều Lên;1;;22
Sài Gòn;Triều Lên;1;;22
Ngã Bảy;Triều Lên;1;;22
Vàm Sát;Triều Lên;1;;22
Đồng Tranh;Triều Lên;1;;22
Bình Lợi;Triều Xuống;1;;22
Sài Gòn;Triều Xuống;1;;22
Ngã Bảy;Triều Xuống;1;1;22
Vàm Sát;Triều Xuống;1;;22
Đồng Tranh;Triều Xuống;1;;22
Long Phước;Triều Lên;1;1;24
Cát Lái;Triều Lên;1;;24
Long Phước;Triều Xuống;1;;24
Cát Lái;Triều Xuống;1;;24
